Sample,Metric,Match Distance
78,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
78,Uniformified 32-bit Hash Metric Distance,0.00946434
78,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99768
78,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0128394
79,Uniformified 32-bit Hamming Metric Distance,0.36389
79,Uniformified 32-bit Approx Dual Streak Metric Distance,0.734179
79,Uniformified 32-bit Hash Metric Distance,0.00941305
79,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984794
79,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00458337
80,Uniformified 32-bit Hamming Metric Distance,0.918385
80,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0869234
80,Uniformified 32-bit Hash Metric Distance,0.00762663
80,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996073
80,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0123782
81,Uniformified 32-bit Hamming Metric Distance,0.918385
81,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
81,Uniformified 32-bit Hash Metric Distance,0.0073803
81,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999383
81,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0101037
82,Uniformified 32-bit Hamming Metric Distance,0.982521
82,Uniformified 32-bit Approx Dual Streak Metric Distance,0.700476
82,Uniformified 32-bit Hash Metric Distance,0.00686472
82,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990877
82,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0145466
83,Uniformified 32-bit Hamming Metric Distance,0.756315
83,Uniformified 32-bit Approx Dual Streak Metric Distance,0.891147
83,Uniformified 32-bit Hash Metric Distance,3.90632e-05
83,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995432
83,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00987134
84,Uniformified 32-bit Hamming Metric Distance,0.997737
84,Uniformified 32-bit Approx Dual Streak Metric Distance,0.961101
84,Uniformified 32-bit Hash Metric Distance,0.00890916
84,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999434
84,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.010287
85,Uniformified 32-bit Hamming Metric Distance,0.959931
85,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
85,Uniformified 32-bit Hash Metric Distance,0.0127034
85,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999992
85,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00918051
86,Uniformified 32-bit Hamming Metric Distance,0.918385
86,Uniformified 32-bit Approx Dual Streak Metric Distance,0.930895
86,Uniformified 32-bit Hash Metric Distance,0.00672259
86,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99298
86,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0137362
87,Uniformified 32-bit Hamming Metric Distance,0.499488
87,Uniformified 32-bit Approx Dual Streak Metric Distance,0.977998
87,Uniformified 32-bit Hash Metric Distance,0.998782
87,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986388
87,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0156531
88,Uniformified 32-bit Hamming Metric Distance,0.756315
88,Uniformified 32-bit Approx Dual Streak Metric Distance,0.734179
88,Uniformified 32-bit Hash Metric Distance,0.00197403
