Sample,Metric,Match Distance
69,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993136
69,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00705258
70,Uniformified 32-bit Hamming Metric Distance,0.847265
70,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
70,Uniformified 32-bit Hash Metric Distance,0.968996
70,Uniformified 32-bit Symmetric Wrap Metric Distance,0.988614
70,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00492054
71,Uniformified 32-bit Hamming Metric Distance,0.847265
71,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
71,Uniformified 32-bit Hash Metric Distance,0.736306
71,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999138
71,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0174064
72,Uniformified 32-bit Hamming Metric Distance,0.749875
72,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
72,Uniformified 32-bit Hash Metric Distance,0.916574
72,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999734
72,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0126583
73,Uniformified 32-bit Hamming Metric Distance,0.983452
73,Uniformified 32-bit Approx Dual Streak Metric Distance,0.993351
73,Uniformified 32-bit Hash Metric Distance,0.38331
73,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99859
73,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00708141
74,Uniformified 32-bit Hamming Metric Distance,0.959404
74,Uniformified 32-bit Approx Dual Streak Metric Distance,0.912359
74,Uniformified 32-bit Hash Metric Distance,0.54813
74,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991617
74,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0164695
75,Uniformified 32-bit Hamming Metric Distance,0.983452
75,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
75,Uniformified 32-bit Hash Metric Distance,0.97501
75,Uniformified 32-bit Symmetric Wrap Metric Distance,0.981518
75,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00379972
76,Uniformified 32-bit Hamming Metric Distance,0.916708
76,Uniformified 32-bit Approx Dual Streak Metric Distance,0.726727
76,Uniformified 32-bit Hash Metric Distance,0.658689
