Sample,Metric,Detour Difference
63,Uniformified 32-bit Hash Metric Distance,1.13448
63,Uniformified 32-bit Symmetric Wrap Metric Distance,0.243568
63,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00056
64,Uniformified 32-bit Hamming Metric Distance,1.57114
64,Uniformified 32-bit Approx Dual Streak Metric Distance,1.39626
64,Uniformified 32-bit Hash Metric Distance,0.0241106
64,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000149043
64,Uniformified 32-bit Asymmetric Wrap Metric Distance,5.18629e-05
65,Uniformified 32-bit Hamming Metric Distance,0.176632
65,Uniformified 32-bit Approx Dual Streak Metric Distance,0.173933
65,Uniformified 32-bit Hash Metric Distance,1.16574
65,Uniformified 32-bit Symmetric Wrap Metric Distance,0.717337
65,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.994501
66,Uniformified 32-bit Hamming Metric Distance,0.551495
66,Uniformified 32-bit Approx Dual Streak Metric Distance,0.518998
66,Uniformified 32-bit Hash Metric Distance,0.17451
66,Uniformified 32-bit Symmetric Wrap Metric Distance,0.234679
66,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00716377
67,Uniformified 32-bit Hamming Metric Distance,0.433907
67,Uniformified 32-bit Approx Dual Streak Metric Distance,0.452105
67,Uniformified 32-bit Hash Metric Distance,0.0853227
67,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.002086
67,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.996809
68,Uniformified 32-bit Hamming Metric Distance,0.475902
68,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
68,Uniformified 32-bit Hash Metric Distance,0.914511
68,Uniformified 32-bit Symmetric Wrap Metric Distance,0.945589
68,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995969
69,Uniformified 32-bit Hamming Metric Distance,1.56849
69,Uniformified 32-bit Approx Dual Streak Metric Distance,1.59439
69,Uniformified 32-bit Hash Metric Distance,0.783967
69,Uniformified 32-bit Symmetric Wrap Metric Distance,1.39462
69,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.986117
70,Uniformified 32-bit Hamming Metric Distance,0.273123
70,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39931
70,Uniformified 32-bit Hash Metric Distance,0.208609
70,Uniformified 32-bit Symmetric Wrap Metric Distance,0.106791
70,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00191
71,Uniformified 32-bit Hamming Metric Distance,-0.421258
71,Uniformified 32-bit Approx Dual Streak Metric Distance,0.145085
71,Uniformified 32-bit Hash Metric Distance,0.640576
71,Uniformified 32-bit Symmetric Wrap Metric Distance,0.186513
71,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.989388
72,Uniformified 32-bit Hamming Metric Distance,0.858214
72,Uniformified 32-bit Approx Dual Streak Metric Distance,1.37581
72,Uniformified 32-bit Hash Metric Distance,1.17006
72,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0128821
72,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00532034
73,Uniformified 32-bit Hamming Metric Distance,0.335466
73,Uniformified 32-bit Approx Dual Streak Metric Distance,0.190031
73,Uniformified 32-bit Hash Metric Distance,0.844474
73,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00188237
73,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998526
74,Uniformified 32-bit Hamming Metric Distance,0.272073
74,Uniformified 32-bit Approx Dual Streak Metric Distance,0.483302
74,Uniformified 32-bit Hash Metric Distance,0.0638435
74,Uniformified 32-bit Symmetric Wrap Metric Distance,0.133141
74,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00117663
75,Uniformified 32-bit Hamming Metric Distance,0.905109
75,Uniformified 32-bit Approx Dual Streak Metric Distance,0.592991
75,Uniformified 32-bit Hash Metric Distance,0.297014
75,Uniformified 32-bit Symmetric Wrap Metric Distance,0.489645
75,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00567
76,Uniformified 32-bit Hamming Metric Distance,0.0433957
76,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0409459
76,Uniformified 32-bit Hash Metric Distance,0.592786
76,Uniformified 32-bit Symmetric Wrap Metric Distance,0.920654
76,Uniformified 32-bit Asymmetric Wrap Metric Distance,3.72501e-05
77,Uniformified 32-bit Hamming Metric Distance,0.509499
77,Uniformified 32-bit Approx Dual Streak Metric Distance,1.0402
77,Uniformified 32-bit Hash Metric Distance,0.644072
77,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0197178
77,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00033
78,Uniformified 32-bit Hamming Metric Distance,0.390161
78,Uniformified 32-bit Approx Dual Streak Metric Distance,0.4981
78,Uniformified 32-bit Hash Metric Distance,0.271324
78,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00714545
78,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.0054
79,Uniformified 32-bit Hamming Metric Distance,1.88236
79,Uniformified 32-bit Approx Dual Streak Metric Distance,1.63589
79,Uniformified 32-bit Hash Metric Distance,-0.421756
79,Uniformified 32-bit Symmetric Wrap Metric Distance,1.01635
79,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990924
80,Uniformified 32-bit Hamming Metric Distance,1.23773
80,Uniformified 32-bit Approx Dual Streak Metric Distance,1.01685
80,Uniformified 32-bit Hash Metric Distance,-0.476837
80,Uniformified 32-bit Symmetric Wrap Metric Distance,0.914449
80,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0003827
81,Uniformified 32-bit Hamming Metric Distance,0.966403
81,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
81,Uniformified 32-bit Hash Metric Distance,0.245238
81,Uniformified 32-bit Symmetric Wrap Metric Distance,0.561327
81,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00792363
82,Uniformified 32-bit Hamming Metric Distance,1.17188
82,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
82,Uniformified 32-bit Hash Metric Distance,0.69689
82,Uniformified 32-bit Symmetric Wrap Metric Distance,0.115007
82,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00252176
83,Uniformified 32-bit Hamming Metric Distance,1.19068
83,Uniformified 32-bit Approx Dual Streak Metric Distance,0.588241
83,Uniformified 32-bit Hash Metric Distance,0.229083
83,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0142275
83,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00052
84,Uniformified 32-bit Hamming Metric Distance,-0.019648
84,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.0878912
84,Uniformified 32-bit Hash Metric Distance,0.374652
84,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0513973
84,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00147772
85,Uniformified 32-bit Hamming Metric Distance,0.0762924
85,Uniformified 32-bit Approx Dual Streak Metric Distance,0.413209
85,Uniformified 32-bit Hash Metric Distance,0.474301
85,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0024001
85,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00238815
